UID,nationalities
6,dutch
7,dutch
8,dutch
23,dutch
24,dutch
32,no_nationality
36,dutch
49,no_nationality
53,english
54,english
56,no_nationality
59,no_nationality
62,"english,dutch"
65,dutch
66,no_nationality
72,no_nationality
75,dutch
78,no_nationality
80,no_nationality
84,no_nationality
86,english
93,no_nationality
105,english
107,no_nationality
108,dutch
113,no_nationality
117,no_nationality
118,no_nationality
122,no_nationality
162,no_nationality
209,no_nationality
211,no_nationality
212,no_nationality
219,no_nationality
228,no_nationality
254,no_nationality
257,english
261,no_nationality
271,no_nationality
302,no_nationality
315,no_nationality
334,no_nationality
340,no_nationality
342,no_nationality
373,no_nationality
374,no_nationality
384,no_nationality
387,no_nationality
391,no_nationality
399,dutch
420,no_nationality
421,no_nationality
434,no_nationality
439,no_nationality
446,dutch
462,no_nationality
479,"portuguese,french"
487,no_nationality
490,no_nationality
498,no_nationality
503,no_nationality
504,no_nationality
508,no_nationality
519,no_nationality
526,english
527,no_nationality
530,english
543,no_nationality
549,no_nationality
550,no_nationality
553,no_nationality
554,no_nationality
556,french
571,no_nationality
575,english
579,english
582,english
583,no_nationality
584,english
590,no_nationality
600,no_nationality
604,no_nationality
613,portuguese
615,no_nationality
616,no_nationality
621,no_nationality
633,dutch
636,no_nationality
644,"french,dutch"
645,flemish
646,flemish
653,dutch
655,dutch
656,"flemish,dutch"
663,english
664,english
665,no_nationality
666,dutch
679,dutch
680,dutch
681,dutch
691,dutch
696,no_nationality
710,no_nationality
727,dutch
805,dutch
806,dutch
807,dutch
852,no_nationality
862,no_nationality
874,dutch
899,dutch
900,dutch
925,dutch
936,dutch
941,dutch
1195,dutch
1201,dutch
1278,english
1306,"english,dutch"
1324,dutch
1351,dutch
1360,"portuguese,dutch"
1383,dutch
1397,dutch
1454,no_nationality
1469,dutch
1470,dutch
1475,dutch
1483,dutch
1494,dutch
1560,no_nationality
1566,dutch
1573,no_nationality
1584,english
1596,"french,dutch"
1616,dutch
1653,dutch
1655,english
1656,dutch
1659,english
1660,no_nationality
1676,no_nationality
1708,"english,dutch"
1710,english
1715,french
1729,dutch
1734,english
1740,dutch
1743,dutch
1756,dutch
1770,dutch
1771,dutch
1773,dutch
1796,english
1798,dutch
1801,dutch
1806,english
1808,dutch
1854,"english,dutch"
1859,dutch
1904,dutch
1925,english
1993,dutch
2034,dutch
2067,no_nationality
2273,english
2274,no_nationality
2280,english
2283,no_nationality
2284,no_nationality
2291,no_nationality
2325,no_nationality
2328,no_nationality
2340,no_nationality
2427,no_nationality
2445,"english,dutch"
2491,dutch
2492,"english,dutch"
2512,english
2520,dutch
2533,no_nationality
2541,no_nationality
2549,no_nationality
2551,no_nationality
2552,no_nationality
2558,no_nationality
2669,no_nationality
2672,no_nationality
2675,no_nationality
2692,no_nationality
2704,dutch
2720,dutch
2721,dutch
2723,dutch
2724,no_nationality
2749,no_nationality
2751,no_nationality
2752,no_nationality
2754,english
2757,no_nationality
2809,dutch
2814,no_nationality
2859,dutch
2877,dutch
2881,dutch
2882,dutch
2884,dutch
2911,dutch
2924,english
2926,english
2936,dutch
2970,dutch
2971,dutch
2975,dutch
2979,dutch
2983,dutch
2995,dutch
3015,dutch
3030,no_nationality
3034,dutch
3039,english
3066,no_nationality
